short_name,name,type,location,tuition_fee_min_vnd,tuition_fee_max_vnd,majors_with_fee_in_excel,status,ghi_chu_dien_hoc_phi
AJC,Học viện Báo chí và Tuyên truyền,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
ANH,Học viện An ninh nhân dân,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
APAG,Học viện Hành chính và Quản trị công,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
APD,Học viện Chính sách và Phát triển,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
APRI,Học viện Chính trị Khu vực I,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
BAV,Học viện Ngân hàng,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
BHIU,Trường Đại học Quốc tế Bắc Hà,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
CSH,Học viện Cảnh sát nhân dân,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
CTA,Học viện Tòa án,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
DAV,Học viện Ngoại giao,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
DCH,Trường Đại học Sĩ quan Đặc công,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
DNU,Trường Đại học Đại Nam,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
EAUT,Trường Đại học Công nghệ Đông Á,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
EPU,Trường Đại học Điện lực,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
FBU,Trường Đại học Tài chính - Ngân hàng Hà Nội,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HAU,Trường Đại học Kiến trúc Hà Nội,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HAUI,Đại học Công nghiệp Hà Nội,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HBU,Trường Đại học Hòa Bình,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HCA,Học viện Chính trị Công an Nhân dân,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HCB,Học viện Chính trị,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HCMA,Học viện Chính trị Quốc gia Hồ Chí Minh,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HDIU,Trường Đại học Đông Đô,private,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HEH,Học viện Hậu cần,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
HGH,Trường Đại học Sĩ quan Phòng hóa,public,Hà Nội,,,0,thieu_hoc_phi,Dien hoc phi uoc tinh/nam (VND) vao 2 cot min/max
