id,name,code,field_group,canonical_group
57,"An toàn, Vệ sinh lao động","","Khác",Khác
84,"Bảo hộ lao động","","Khác",Khác
441,"Cơ điện tử - hợp tác với ĐH Công nghệ Nagaoka (Nhật Bản)","","Khác",Khác
442,"Cơ điện tử - hợp tác với ĐH Leibniz Hannover (CHLB Đức)","","Khác",Khác
443,"Cơ điện tử - hợp tác với ĐH Leibniz Hannover (Đức)","","Khác",Khác
444,"Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản)","","Khác",Khác
445,"Cơ điện tử thông minh và sản xuất theo phương thức Nhật Bản","","Khác",Khác
446,"Cơ điện tử thông minh và sản xuất theo phương thức Nhật Bản – EMJM","","Khác",Khác
427,"Công nghệ đa phương tiện (Liên kết với Đại học Canberra, Australia)","","Khác",Khác
212,"Công nghệ Dệt - May","","Khác",Khác
257,"Công nghệ dệt, may","","Khác",Khác
258,"Công nghệ dệt, may (CS Hà Nội)","","Khác",Khác
259,"Công nghệ dệt, may (CS Nam Định)","","Khác",Khác
260,"Công nghệ dệt; may","","Khác",Khác
1838,"Công nghệ Điện, Điện tử","","Khác",Khác
216,"Công nghệ KT điện tử – viễn thông","","Khác",Khác
1804,"Đá quý Đá mỹ nghệ","","Khác",Khác
1805,"Đá quý, đá mỹ nghệ","","Khác",Khác
1816,"Địa chất học","","Khác",Khác
1887,"Địa lý tự nhiên","","Khác",Khác
1818,"Địa tin học","","Khác",Khác
1801,"Điện ảnh và Nghệ thuật đại chúng","","Khác",Khác
1800,"Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức)","","Khác",Khác
1799,"Điện tử - Viễn thông - hợp tác với ĐH Leibniz Hannover (Đức)","","Khác",Khác
1795,"Điều dưỡng  chương trình tiên tiến kết hợp chứng chỉ ngoại ngữ quốc tế","","Khác",Khác
1797,"Điều dưỡng chương trình tiên tiến","","Khác",Khác
1796,"Điều dưỡng Phân hiệu Thanh Hóa","","Khác",Khác
1793,"Điêu khắc","","Khác",Khác
1798,"Điều khiển thông minh và Tự động hóa – BICA","","Khác",Khác
1821,"Đồ họa","","Khác",Khác
1823,"Đồ họa game","","Khác",Khác
1824,"Đổi mới và Phát triển toàn cầu – BGDI","","Khác",Khác
1806,"Đông Nam Á học","","Khác",Khác
1808,"Đông phương học","","Khác",Khác
1809,"Đường sắt tốc độ cao","","Khác",Khác
490,"Giới và Phát triển","","Khác",Khác
492,"Giới và Phát triển (Hà Nội)","","Khác",Khác
491,"Giới và Phát triển (HCM)","","Khác",Khác
494,"Gốm","","Khác",Khác
509,"Hạ tầng giao thông đô thị thông minh","","Khác",Khác
510,"Hải dương học","","Khác",Khác
500,"Hán Nôm","","Khác",Khác
498,"Hàn Quốc","","Khác",Khác
499,"Hàn Quốc học","","Khác",Khác
532,"Hệ thống điện và năng lượng tái tạo (CT tiên tiến)","","Khác",Khác
521,"Hệ thống giao thông thông minh","","Khác",Khác
522,"Hệ thống nhúng thông minh và IoT (CT tiên tiến)","","Khác",Khác
534,"Hộ sinh","","Khác",Khác
495,"Hoa Kỳ học","","Khác",Khác
535,"Hội họa","","Khác",Khác
537,"Khai thác vận tải","","Khác",Khác
594,"Khởi nghiệp & phát triển KD (BBAE)","","Khác",Khác
595,"Khởi nghiệp & phát ưiển KD (BBAE)","","Khác",Khác
593,"Khúc xạ nhãn khoa","","Khác",Khác
1848,"Kĩ thuật Hình ảnh y học","","Khác",Khác
1840,"KT Hình ảnh y học","","Khác",Khác
536,"KTĐK và Tự động hóa","","Khác",Khác
1021,"Lâm sinh","","Khác",Khác
1217,"Năng lượng tái tạo","","Khác",Khác
1132,"Ngành Địa chất học","","Khác",Khác
1100,"Ngành Nghiệp vụ an ninh","","Khác",Khác
1101,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 1)","","Khác",Khác
1102,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 2)","","Khác",Khác
1103,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 3)","","Khác",Khác
1104,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, vùng 8)","","Khác",Khác
1105,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 1)","","Khác",Khác
1106,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 2)","","Khác",Khác
1107,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 3)","","Khác",Khác
